LegacyTypeIdentity	StableFullName	CurrentAssembly	CurrentTypeIdentity	MigrationPolicy
XREngine.Rendering.UI.UIRenderableComponent, XREngine	XREngine.Rendering.UI.UIRenderableComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIRenderableComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIRotationTransform, XREngine	XREngine.Rendering.UI.UIRotationTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIRotationTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UISByteInputComponent, XREngine	XREngine.Rendering.UI.UISByteInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UISByteInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIScrollableTransform, XREngine	XREngine.Rendering.UI.UIScrollableTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIScrollableTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIShortInputComponent, XREngine	XREngine.Rendering.UI.UIShortInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIShortInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UISizingDefinition, XREngine	XREngine.Rendering.UI.UISizingDefinition	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UISizingDefinition, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UISizingValue, XREngine	XREngine.Rendering.UI.UISizingValue	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UISizingValue, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UISplitArrangement, XREngine	XREngine.Rendering.UI.UISplitArrangement	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UISplitArrangement, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UISvgComponent, XREngine	XREngine.Rendering.UI.UISvgComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UISvgComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UITabTransform, XREngine	XREngine.Rendering.UI.UITabTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UITabTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIText, XREngine	XREngine.Rendering.UI.UIText	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIText, XREngine.Runtime.Rendering	StableFullNameFallback
